"agent_name";"Brokerage Firm";"Zip";"agent_sr_no";"conversion_rate";"total_properties";"properties_sold"
"Mary Wilson";"M&M Brokerage";45225;74;26;38;10
"Jennifer Anderson";"M&M Brokerage";45225;75;25;52;13
"Jennifer Miller";"M&M Brokerage";45225;76;19;52;10
"James Wilson";"M&M Brokerage";45225;77;16;63;10
"Mary Thomas";"M&M Brokerage";45228;78;18;61;11
"Mary Smith";"M&M Brokerage";45228;79;23;47;11
"Robert Lee";"M&M Brokerage";45228;80;26;35;9
"Patricia Smith";"M&M Brokerage";45228;81;27;52;14
"John Johnson";"M&M Brokerage";45229;82;26;34;9
"Robert Thomas";"M&M Brokerage";45213;83;39;38;15
"Mary Anderson";"M&M Brokerage";45206;84;29;49;14
"James Thomas";"M&M Brokerage";45206;85;15;52;8
"William Smith";"M&M Brokerage";45206;86;37;46;17
"Jennifer Brown";"M&M Brokerage";45219;87;31;58;18
"Robert Miller";"M&M Brokerage";45218;88;16;50;8
"John Anderson";"M&M Brokerage";45218;89;25;57;14
"Linda Anderson";"M&M Brokerage";45218;90;22;45;10
"William Brown";"Richa & Sons";45224;91;34;53;18
"Mary Johnson";"Richa & Sons";45220;92;26;53;14
"Linda Brown";"Richa & Sons";45201;93;24;59;14
"Mary Taylor";"Richa & Sons";45221;94;29;49;14
"William Taylor";"Richa & Sons";45208;95;26;43;11
"Michael Taylor";"Willy Nilly Brokerage";45232;96;19;48;9
"William Wilson";"Willy Nilly Brokerage";45232;97;33;43;14
"Robert Taylor";"Willy Nilly Brokerage";45232;98;20;54;11
"William Lee";"Willam Reality";45201;99;29;55;16
"Elizabeth Brown";"Willam Reality";45201;100;25;48;12
"William Davis";"Willam Reality";45225;101;25;55;14
